timestamp	platform	host	device	gpu_name	cpu_cores	ram_total_gb	param_count	model_id	prompt	rep	tokens	elapsed_s	tokens_per_sec	note
2026-05-09T17:21:10.811613+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	0	51	0.103	496.6	
2026-05-09T17:21:10.938144+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	1	51	0.125	408.5	
2026-05-09T17:21:12.440597+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	0	80	0.23	347.6	
2026-05-09T17:21:12.660634+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	1	80	0.219	365.8	
2026-05-09T17:21:13.592753+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	0	58	0.157	369.7	
2026-05-09T17:21:13.717743+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	1	58	0.124	468.8	
2026-05-09T17:21:14.610038+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	0	81	0.251	322.3	
2026-05-09T17:21:14.844546+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	1	81	0.233	347.5	
2026-05-09T17:21:15.420858+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	0	92	0.23	400.5	
2026-05-09T17:21:15.595092+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	1	92	0.173	532.2	
2026-05-09T17:21:16.070956+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	0	95	0.246	386.6	
2026-05-09T17:21:16.332040+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	1	95	0.26	365.9	
2026-05-09T17:21:17.517398+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	0	129	0.321	402.5	
2026-05-09T17:21:17.721272+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	1	129	0.203	636.6	
2026-05-09T17:21:17.914446+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	0	57	0.1	569.3	
2026-05-09T17:21:18.042007+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	1	57	0.126	451.0	
2026-05-09T17:21:18.486660+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	0	89	0.192	462.5	
2026-05-09T17:21:18.677217+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	1	89	0.189	470.4	
2026-05-09T17:21:19.049149+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_no_borrow-v2	87 - 34	0	89	0.195	456.9	
2026-05-09T17:21:19.230565+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_no_borrow-v2	87 - 34	1	89	0.18	494.0	
2026-05-09T17:21:19.410670+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mod_1d-v2	17 % 5	0	35	0.098	358.6	
2026-05-09T17:21:19.507494+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mod_1d-v2	17 % 5	1	35	0.095	366.9	
2026-05-09T17:21:20.257418+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_3d-v3	920 + 138	0	132	0.305	433.0	
2026-05-09T17:21:20.472342+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_3d-v3	920 + 138	1	132	0.214	617.7	
2026-05-09T17:21:21.357475+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d_exp-v3	84 / 7	0	133	0.422	315.5	
2026-05-09T17:21:21.687959+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d_exp-v3	84 / 7	1	133	0.329	404.1	
2026-05-09T17:21:22.059618+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_1step-v3	7x = 56	0	98	0.198	495.5	
2026-05-09T17:21:22.295378+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_1step-v3	7x = 56	1	98	0.235	417.9	
2026-05-09T17:21:23.014942+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_2step-v3	2x + 3 = 11	0	139	0.299	464.5	
2026-05-09T17:21:23.242998+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_2step-v3	2x + 3 = 11	1	139	0.227	612.8	
2026-05-09T17:21:23.664969+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v4	96 / 8	0	81	0.253	320.6	
2026-05-09T17:21:23.817465+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v4	96 / 8	1	81	0.151	535.8	
2026-05-09T17:21:24.222344+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_1step-v4	15x = 45	0	117	0.216	542.0	
2026-05-09T17:21:24.422253+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_1step-v4	15x = 45	1	117	0.199	588.8	
2026-05-09T17:21:24.926361+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_2step_hard-v4	4x - 7 = 13	0	116	0.276	419.8	
2026-05-09T17:21:25.220880+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_2step_hard-v4	4x - 7 = 13	1	116	0.293	395.9	
2026-05-09T17:21:26.039024+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_distribute-v4	3(x + 2) = 18	0	143	0.333	430.1	
2026-05-09T17:21:26.300222+00:00	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	alg_distribute-v4	3(x + 2) = 18	1	143	0.26	550.1	
