timestamp	git_commit	platform	host	device	gpu_name	cpu_cores	ram_total_gb	param_count	model_id	prompt	rep	tokens	elapsed_s	tokens_per_sec	note
2026-05-10T01:04:09.076271+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	0	51	0.096	533.8	
2026-05-10T01:04:09.171808+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	1	51	0.094	542.7	
2026-05-10T01:04:09.269149+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	2	51	0.096	530.7	
2026-05-10T01:04:09.358117+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	3	51	0.088	580.9	
2026-05-10T01:04:09.455042+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	arith-generalist-v1	47 + 58	4	51	0.096	533.2	
2026-05-10T01:04:10.474352+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	0	80	0.16	499.8	
2026-05-10T01:04:10.614534+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	1	80	0.139	575.6	
2026-05-10T01:04:10.754230+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	2	80	0.138	577.8	
2026-05-10T01:04:10.885123+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	3	80	0.13	616.9	
2026-05-10T01:04:11.022772+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	curriculum-v1	12 * 34	4	80	0.136	587.1	
2026-05-10T01:04:11.477203+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	0	58	0.133	435.6	
2026-05-10T01:04:11.582753+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	1	58	0.104	558.2	
2026-05-10T01:04:11.688708+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	2	58	0.105	553.7	
2026-05-10T01:04:11.793175+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	3	58	0.103	561.7	
2026-05-10T01:04:11.900148+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	4	58	0.106	548.1	
2026-05-10T01:04:12.224460+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	0	81	0.145	560.1	
2026-05-10T01:04:12.372847+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	1	81	0.147	550.4	
2026-05-10T01:04:12.522997+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	2	81	0.149	544.3	
2026-05-10T01:04:12.671544+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	3	81	0.147	550.0	
2026-05-10T01:04:12.814543+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_1d-v2	7 + 8	4	81	0.142	571.4	
2026-05-10T01:04:13.145508+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	0	92	0.162	567.8	
2026-05-10T01:04:13.304052+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	1	92	0.157	586.0	
2026-05-10T01:04:13.467443+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	2	92	0.162	567.3	
2026-05-10T01:04:13.633070+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	3	92	0.164	559.5	
2026-05-10T01:04:13.797828+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	add_2d-v2	47 + 58	4	92	0.164	562.5	
2026-05-10T01:04:14.135525+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	0	95	0.17	559.0	
2026-05-10T01:04:14.303485+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	1	95	0.166	571.9	
2026-05-10T01:04:14.475870+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	2	95	0.171	555.6	
2026-05-10T01:04:14.636950+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	3	95	0.16	595.3	
2026-05-10T01:04:14.801576+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_1d-v2	8 * 7	4	95	0.163	581.8	
2026-05-10T01:04:15.812347+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	0	129	0.238	543.0	
2026-05-10T01:04:16.030649+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	1	129	0.217	594.6	
2026-05-10T01:04:16.259389+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	2	129	0.228	567.0	
2026-05-10T01:04:16.489610+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	3	129	0.229	563.3	
2026-05-10T01:04:16.722495+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	mul_2d-v2	23 * 46	4	129	0.232	556.9	
2026-05-10T01:04:16.944919+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	0	57	0.098	584.1	
2026-05-10T01:04:17.047394+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	1	57	0.101	563.2	
2026-05-10T01:04:17.150790+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	2	57	0.102	557.5	
2026-05-10T01:04:17.253673+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	3	57	0.102	561.1	
2026-05-10T01:04:17.354446+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	div_1d-v2	56 / 7	4	57	0.099	572.9	
2026-05-10T01:04:17.672101+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	0	89	0.155	572.5	
2026-05-10T01:04:17.833216+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	1	89	0.16	556.5	
2026-05-10T01:04:17.984474+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	2	89	0.15	592.9	
2026-05-10T01:04:18.138883+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	3	89	0.153	581.1	
2026-05-10T01:04:18.297261+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_borrow-v2	82 - 47	4	89	0.157	566.2	
2026-05-10T01:04:18.628617+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_no_borrow-v2	87 - 34	0	89	0.157	567.1	
2026-05-10T01:04:18.789958+00:00	3819072	macbook-mps	Seans-MacBook-Pro.local	mps		14	25.8	5160960	sub_2d_no_borrow-v2	87 - 34	1	89	0.16	556.1	
