timestamp	platform	host	device	gpu_name	cpu_cores	ram_total_gb	param_count	model_id	prompt	rep	tokens	elapsed_s	tokens_per_sec	note
2026-05-09T18:03:51.058472+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	0	51	0.101	503.4	
2026-05-09T18:03:51.223380+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	1	51	0.146	349.5	
2026-05-09T18:03:51.406375+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	2	51	0.161	316.4	
2026-05-09T18:03:51.627317+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	3	51	0.204	249.6	
2026-05-09T18:03:51.883754+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	4	51	0.235	216.8	
2026-05-09T18:03:53.116802+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	0	80	0.188	424.6	
2026-05-09T18:03:53.366612+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	1	80	0.229	348.9	
2026-05-09T18:03:53.671486+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	2	80	0.284	281.2	
2026-05-09T18:03:54.012491+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	3	80	0.322	248.2	
2026-05-09T18:03:54.371580+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	4	80	0.34	235.0	
2026-05-09T18:03:55.246064+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	0	58	0.128	451.5	
2026-05-09T18:03:55.370522+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	1	58	0.108	538.3	
2026-05-09T18:03:55.541409+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	2	58	0.152	380.7	
2026-05-09T18:03:55.675603+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	3	58	0.115	503.4	
2026-05-09T18:03:55.887859+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	4	58	0.193	300.3	
2026-05-09T18:03:56.951003+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_1d-v2	7 + 8	0	81	0.197	411.9	
2026-05-09T18:03:57.150740+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_1d-v2	7 + 8	1	81	0.178	455.1	
2026-05-09T18:03:57.453312+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_1d-v2	7 + 8	2	81	0.284	284.9	
2026-05-09T18:03:57.852499+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_1d-v2	7 + 8	3	81	0.378	214.2	
2026-05-09T18:03:58.249589+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_1d-v2	7 + 8	4	81	0.379	213.7	
2026-05-09T18:03:59.170161+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_2d-v2	47 + 58	0	92	0.404	227.6	
2026-05-09T18:03:59.629228+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_2d-v2	47 + 58	1	92	0.436	210.8	
2026-05-09T18:04:00.094351+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_2d-v2	47 + 58	2	92	0.446	206.3	
2026-05-09T18:04:00.531546+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_2d-v2	47 + 58	3	92	0.417	220.6	
2026-05-09T18:04:00.996427+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	add_2d-v2	47 + 58	4	92	0.444	207.1	
2026-05-09T18:04:01.938235+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_1d-v2	8 * 7	0	95	0.452	210.2	
2026-05-09T18:04:02.396389+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_1d-v2	8 * 7	1	95	0.437	217.5	
2026-05-09T18:04:02.857542+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_1d-v2	8 * 7	2	95	0.444	213.9	
2026-05-09T18:04:03.338481+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_1d-v2	8 * 7	3	95	0.459	206.9	
2026-05-09T18:04:03.810896+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_1d-v2	8 * 7	4	95	0.452	210.4	
2026-05-09T18:04:05.299809+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_2d-v2	23 * 46	0	129	0.266	484.4	
2026-05-09T18:04:05.616019+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_2d-v2	23 * 46	1	129	0.299	431.8	
2026-05-09T18:04:06.139706+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_2d-v2	23 * 46	2	129	0.506	254.9	
2026-05-09T18:04:06.679276+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_2d-v2	23 * 46	3	129	0.513	251.4	
2026-05-09T18:04:07.266812+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mul_2d-v2	23 * 46	4	129	0.57	226.3	
2026-05-09T18:04:07.832451+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	div_1d-v2	56 / 7	0	57	0.266	214.4	
2026-05-09T18:04:08.119082+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	div_1d-v2	56 / 7	1	57	0.266	213.9	
2026-05-09T18:04:08.408603+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	div_1d-v2	56 / 7	2	57	0.271	210.5	
2026-05-09T18:04:08.679777+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	div_1d-v2	56 / 7	3	57	0.252	226.0	
2026-05-09T18:04:08.970896+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	div_1d-v2	56 / 7	4	57	0.274	208.2	
2026-05-09T18:04:09.841762+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_borrow-v2	82 - 47	0	89	0.411	216.5	
2026-05-09T18:04:10.266611+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_borrow-v2	82 - 47	1	89	0.405	219.6	
2026-05-09T18:04:10.712271+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_borrow-v2	82 - 47	2	89	0.424	209.8	
2026-05-09T18:04:11.163613+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_borrow-v2	82 - 47	3	89	0.43	206.7	
2026-05-09T18:04:11.517633+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_borrow-v2	82 - 47	4	89	0.333	267.3	
2026-05-09T18:04:12.394823+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_no_borrow-v2	87 - 34	0	89	0.414	215.1	
2026-05-09T18:04:12.803163+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_no_borrow-v2	87 - 34	1	89	0.389	228.7	
2026-05-09T18:04:13.238577+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_no_borrow-v2	87 - 34	2	89	0.418	213.1	
2026-05-09T18:04:13.679956+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_no_borrow-v2	87 - 34	3	89	0.419	212.6	
2026-05-09T18:04:14.121906+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	sub_2d_no_borrow-v2	87 - 34	4	89	0.423	210.5	
2026-05-09T18:04:14.517904+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mod_1d-v2	17 % 5	0	35	0.178	196.1	
2026-05-09T18:04:14.714616+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mod_1d-v2	17 % 5	1	35	0.175	199.8	
2026-05-09T18:04:14.931434+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mod_1d-v2	17 % 5	2	35	0.198	176.8	
2026-05-09T18:04:15.132297+00:00	macmini-mps	Mac-mini	mps		12	51.5	5160960	mod_1d-v2	17 % 5	3	35	0.18	194.4	
