timestamp	git_commit	platform	host	device	gpu_name	cpu_cores	ram_total_gb	param_count	model_id	prompt	rep	tokens	elapsed_s	tokens_per_sec	note
2026-05-10T01:16:03.821779+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	0	51	0.089	571.3	
2026-05-10T01:16:03.966129+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	1	51	0.125	409.4	
2026-05-10T01:16:04.120564+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	2	51	0.136	376.0	
2026-05-10T01:16:04.223615+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	3	51	0.084	606.4	
2026-05-10T01:16:04.347291+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	arith-generalist-v1	47 + 58	4	51	0.088	578.4	
2026-05-10T01:16:05.396150+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	0	80	0.127	632.4	
2026-05-10T01:16:05.571726+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	1	80	0.155	517.0	
2026-05-10T01:16:05.718568+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	2	80	0.129	622.3	
2026-05-10T01:16:05.921631+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	3	80	0.124	646.1	
2026-05-10T01:16:06.210453+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	curriculum-v1	12 * 34	4	80	0.263	304.6	
2026-05-10T01:16:06.613890+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	0	58	0.092	632.5	
2026-05-10T01:16:06.735265+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	1	58	0.097	596.0	
2026-05-10T01:16:06.854506+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	2	58	0.099	583.8	
2026-05-10T01:16:06.970836+00:00	3819072	macmini-mps	Mac-mini	mps		12	51.5	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	3	58	0.094	617.5	
