platform	hardware	model	median_tps	n
macbook-mps	M4 Pro 14C	add_1d-v2	519.2	5
macbook-mps	M4 Pro 14C	add_2d-v2	502.9	5
macbook-mps	M4 Pro 14C	add_3d-v3	513.7	5
macbook-mps	M4 Pro 14C	alg_1step-v3	432.5	5
macbook-mps	M4 Pro 14C	alg_1step-v4	530.1	5
macbook-mps	M4 Pro 14C	alg_2step-v3	526.6	5
macbook-mps	M4 Pro 14C	alg_2step_hard-v4	535.7	5
macbook-mps	M4 Pro 14C	alg_distribute-v4	558.1	5
macbook-mps	M4 Pro 14C	arith-generalist-v1	473.6	5
macbook-mps	M4 Pro 14C	curriculum-v1	453.8	5
macbook-mps	M4 Pro 14C	div_1d-v2	448.6	5
macbook-mps	M4 Pro 14C	div_1d-v4	401.8	5
macbook-mps	M4 Pro 14C	div_1d_exp-v3	452.6	5
macbook-mps	M4 Pro 14C	mod_1d-v2	450.9	5
macbook-mps	M4 Pro 14C	mul_1d-v2	546.4	5
macbook-mps	M4 Pro 14C	mul_2d-v2	562.2	5
macbook-mps	M4 Pro 14C	sub_2d_borrow-v2	501.9	5
macbook-mps	M4 Pro 14C	sub_2d_no_borrow-v2	591.6	5
macbook-mps	M4 Pro 14C	word-problem-v1	494.8	5
macmini-mps	M4 Pro 12C	add_1d-v2	284.9	5
macmini-mps	M4 Pro 12C	add_2d-v2	210.8	5
macmini-mps	M4 Pro 12C	add_3d-v3	201.8	5
macmini-mps	M4 Pro 12C	alg_1step-v3	193.4	5
macmini-mps	M4 Pro 12C	alg_1step-v4	202.4	5
macmini-mps	M4 Pro 12C	alg_2step-v3	203.0	5
macmini-mps	M4 Pro 12C	alg_2step_hard-v4	199.1	5
macmini-mps	M4 Pro 12C	alg_distribute-v4	196.2	5
macmini-mps	M4 Pro 12C	arith-generalist-v1	316.4	5
macmini-mps	M4 Pro 12C	curriculum-v1	281.2	5
macmini-mps	M4 Pro 12C	div_1d-v2	213.9	5
