timestamp	git_commit	platform	host	device	gpu_name	cpu_cores	ram_total_gb	param_count	model_id	prompt	rep	tokens	elapsed_s	tokens_per_sec	note
2026-05-10T10:27:06.460334+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	arith-generalist-v1	47 + 58	0	51	0.043	1193.6	
2026-05-10T10:27:06.523389+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	arith-generalist-v1	47 + 58	1	51	0.044	1166.3	
2026-05-10T10:27:06.585354+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	arith-generalist-v1	47 + 58	2	51	0.043	1189.6	
2026-05-10T10:27:06.648449+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	arith-generalist-v1	47 + 58	3	51	0.044	1147.7	
2026-05-10T10:27:06.791962+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	arith-generalist-v1	47 + 58	4	51	0.046	1109.9	
2026-05-10T10:27:11.526297+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	curriculum-v1	12 * 34	0	80	0.135	592.2	
2026-05-10T10:27:11.685835+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	curriculum-v1	12 * 34	1	80	0.14	572.0	
2026-05-10T10:27:11.800552+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	curriculum-v1	12 * 34	2	80	0.093	858.7	
2026-05-10T10:27:11.905887+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	curriculum-v1	12 * 34	3	80	0.084	950.9	
2026-05-10T10:27:12.035475+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	curriculum-v1	12 * 34	4	80	0.083	966.9	
2026-05-10T10:27:13.872997+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	0	58	0.113	513.7	
2026-05-10T10:27:13.963054+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	1	58	0.071	816.4	
2026-05-10T10:27:14.131390+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	2	58	0.065	893.3	
2026-05-10T10:27:14.216089+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	3	58	0.065	885.7	
2026-05-10T10:27:14.303289+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	4	58	0.064	901.0	
2026-05-10T10:27:17.449348+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_1d-v2	7 + 8	0	81	0.152	531.4	
2026-05-10T10:27:17.573361+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_1d-v2	7 + 8	1	81	0.099	816.7	
2026-05-10T10:27:17.696352+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_1d-v2	7 + 8	2	81	0.101	804.4	
2026-05-10T10:27:17.811242+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_1d-v2	7 + 8	3	81	0.095	854.7	
2026-05-10T10:27:17.925524+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_1d-v2	7 + 8	4	81	0.096	844.9	
2026-05-10T10:27:21.081043+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_2d-v2	47 + 58	0	92	0.11	835.2	
2026-05-10T10:27:21.212952+00:00	c78f288	win-3080	DESKTOP-Q0QB0ME	cuda	NVIDIA GeForce RTX 3080	24	137.3	5160960	add_2d-v2	47 + 58	1	92	0.11	834.6	
