timestamp	git_commit	platform	host	device	gpu_name	cpu_cores	ram_total_gb	param_count	model_id	prompt	rep	tokens	elapsed_s	tokens_per_sec	note
2026-05-10T01:58:02.364424+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	arith-generalist-v1	47 + 58	0	51	0.265	192.1	
2026-05-10T01:58:02.649100+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	arith-generalist-v1	47 + 58	1	51	0.265	192.3	
2026-05-10T01:58:02.944698+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	arith-generalist-v1	47 + 58	2	51	0.274	186.2	
2026-05-10T01:58:03.227063+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	arith-generalist-v1	47 + 58	3	51	0.26	195.9	
2026-05-10T01:58:03.555376+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	arith-generalist-v1	47 + 58	4	51	0.308	165.5	
2026-05-10T01:58:04.344810+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	curriculum-v1	12 * 34	0	80	0.37	216.1	
2026-05-10T01:58:04.727068+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	curriculum-v1	12 * 34	1	80	0.362	221.1	
2026-05-10T01:58:05.160707+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	curriculum-v1	12 * 34	2	80	0.413	193.8	
2026-05-10T01:58:05.544407+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	curriculum-v1	12 * 34	3	80	0.361	221.5	
2026-05-10T01:58:05.906727+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	curriculum-v1	12 * 34	4	80	0.342	234.0	
2026-05-10T01:58:06.628512+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	0	58	0.369	157.1	
2026-05-10T01:58:07.083168+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	1	58	0.374	155.0	
2026-05-10T01:58:07.439139+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	2	58	0.337	172.2	
2026-05-10T01:58:07.779670+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	3	58	0.32	181.5	
2026-05-10T01:58:08.133395+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	word-problem-v1	Sara has 3 apples and gets 4 more. How many?	4	58	0.32	181.4	
2026-05-10T01:58:09.180394+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	add_1d-v2	7 + 8	0	81	0.419	193.5	
2026-05-10T01:58:09.588484+00:00	3819072	win-cpu	DESKTOP-Q0QB0ME	cpu		24	137.3	5160960	add_1d-v2	7 + 8	1	81	0.386	209.7	
